#DATA_CREARE:02.03.2025, 20:50
linie,pozitie,cuvant_gresit,sugestii,context,tip_eroare
3,4,mam,"mim, mau, mac",Azi [mam] dus la magazin dar ,Greșeală ortografică
3,169,lapet,"lapte, laiet, tapet",a zis ca nu mai are [lapet] si ca trebe sa revi,Greșeală ortografică
3,181,trebe,"treme, trene, trese",mai are lapet si ca [trebe] sa revin mâine da e,Greșeală ortografică
3,208,nam,"naz, nap, nat",a revin mâine da eu [nam] vrut pentru ca am d,Greșeală ortografică
3,240,pina,"gina, nina, pana",tru ca am drum lung [pina] acasă și nu pot sa ,Greșeală ortografică
4,64,lucrurille,lucrurile,a si au cazut toate [lucrurille] pe jos oameni s-au ,Greșeală ortografică
4,89,s-au,"sau, stau",rille pe jos oameni [s-au] uitat la mine da ni,Greșeală ortografică
5,8,miam,"miar, mim, fiam",Pe drum [miam] adus aminte ca nu a,Greșeală ortografică
6,20,mam,"mim, mau, mac",Când am ajuns acasa [mam] pus la masa si am m,Greșeală ortografică
8,32,nam,"naz, nap, nat","s un pic afara, dar [nam] avut chef ca era pr",Greșeală ortografică
8,108,mam,"mim, mau, mac",a preferata. Asa ca [mam] pus in pat si am ad,Greșeală ortografică
8,165,m-am,"team, mim, mâim", vreo ora dupa care [m-am] trezit ca bubuia mu,Greșeală ortografică
13,22,într-un,"întruna, întru, întruni",ei să fie și salvat [într-un] fișier .txt?,Greșeală ortografică
